Rank,Product Name,Product URL,Image URL,Price,MRP,Discount,Rating,Rating Count,Delivery Time,Pack/Size,Max Quantity,Fetched Date,Fetched Time
28,Epigamia Turbo Chocolate Protein Milkshake,https://www.zeptonow.com/pn/epigamia-turbo-chocolate-protein-milkshake/pvid/65bbf7df-354b-4bba-b6fa-8ddcd2468d84,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/5f51fa49-7984-42c8-8475-1074bd8523fb.jpeg",₹135,₹150,₹15 Off,4.3,(407),9 mins,250 ml,6,2025-07-12,10:14:47
29,Fast&up Assorted Flavoured Energy Drink,https://www.zeptonow.com/pn/fastup-assorted-flavoured-energy-drink/pvid/1d136589-3185-4d8a-bb5d-dd22456c03dd,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/47e98820-6345-4233-b05b-4adde7c51796.jpeg",₹673,₹1180,₹507 Off,4.5,(52),9 mins,1 pack (4 pcs),1,2025-07-12,10:14:47
30,Good Monk Orange Instant Drink Mix,https://www.zeptonow.com/pn/good-monk-orange-instant-drink-mix/pvid/e325840f-78b7-4364-9ef3-4b3efc64958d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/2e9f903e-1f39-4ee3-80d9-f866789c07ce.jpeg",₹600,,,4.5,(655),11 mins,396 g,1,2025-07-12,10:14:47
31,Mountain Dew Citrus Soft Drink,https://www.zeptonow.com/pn/mountain-dew-citrus-soft-drink/pvid/ab1e4483-982c-47c7-9dec-8176fcac278c,"https://cdn.zeptonow.com/production/tr:w-1280,ar-700-700,pr-true,f-auto,q-80/cms/product_variant/7e80bda7-0e9a-49d4-a79a-8d46f291fe85.jpeg",₹95,₹100,₹5 Off,4.7,(1.5k),9 mins,2.25 L,8,2025-07-12,10:14:47
32,Epigamia Turbo Coffee Protein Milkshake,https://www.zeptonow.com/pn/epigamia-turbo-coffee-protein-milkshake/pvid/403f785a-8d9a-48de-8dcc-0a2c987409c2,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/fd9d8c9d-8d3d-4f95-8d60-d819b4d91806.jpeg",₹135,₹150,₹15 Off,4.2,(138),9 mins,250 ml,4,2025-07-12,10:14:47
33,Raw Pressery Tender Coconut Water,https://www.zeptonow.com/pn/raw-pressery-tender-coconut-water/pvid/1978295f-e810-467a-962a-302ee6710168,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/10163070-4a53-4cc0-9d8d-b734ae160649.jpeg",₹294,₹420,₹126 Off,4.6,(741),9 mins,1.2 L,3,2025-07-12,10:14:47
34,Alt Co. Almond Milk,https://www.zeptonow.com/pn/alt-co-almond-milk/pvid/2f72762b-5215-495c-a9b9-9726b553e7b0,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/b02171d7-22f4-4904-abbb-8f167f3d7e22.jpeg",₹270,₹299,₹29 Off,4.2,(270),9 mins,1 L,1,2025-07-12,10:14:47
35,Good Monk Orange Instant Powder Mix,https://www.zeptonow.com/pn/good-monk-orange-instant-powder-mix/pvid/6aa1ee34-9dfb-4722-a5ad-773ab61592ba,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/3cd6676f-3b15-4883-9549-fba39099bcc3.jpeg",₹600,,,4.4,(356),11 mins,396 g,2,2025-07-12,10:14:47
36,Bailley Packaged Drinking Water,https://www.zeptonow.com/pn/bailley-packaged-drinking-water/pvid/37cbff45-4e06-4a0b-915b-9ae16344077f,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/7c4f34dc-022f-49d7-b7dd-395e44645c46.jpeg",₹70,,,4.6,(879),9 mins,5 L,1,2025-07-12,10:14:47
37,Epigamia Turbo Cookies and Cream Protein Milkshake,https://www.zeptonow.com/pn/epigamia-turbo-cookies-and-cream-protein-milkshake/pvid/b1ca615f-5384-4135-981d-343c46308dcd,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/b5df7f76-a7f1-48db-a19f-788cef918a6a.jpeg",₹135,₹150,₹15 Off,4.5,(207),9 mins,250 ml,4,2025-07-12,10:14:47
38,Appy Fizz Apple Soft Drink | Pet,https://www.zeptonow.com/pn/appy-fizz-apple-soft-drink-pet/pvid/f8012f67-d0d8-4323-93ef-5d333bcf9119,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/616431d6-d577-4e8f-90f0-fb1a2d1bedc8.jpeg",₹66,₹70,₹4 Off,4.7,(4.1k),9 mins,1 L,1,2025-07-12,10:14:47
39,Bombay Banta Lemon Soda,https://www.zeptonow.com/pn/bombay-banta-lemon-soda/pvid/9de9bba5-c982-4521-8f2f-aa0d6cc65e0d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/6ede59da-64d3-447b-b4f8-103b908881ff.jpeg",₹217,₹240,₹23 Off,4.3,(707),9 mins,1 pack (12 pcs),4,2025-07-12,10:14:47
40,Hershey's Caramel Syrup,https://www.zeptonow.com/pn/hersheys-caramel-syrup/pvid/47458cc6-6031-47ba-b205-6a9043451aad,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/f647348f-38e8-40c7-91b9-5945a5e48ea3.jpeg",₹252,₹265,₹13 Off,4.8,(89),9 mins,623 g,2,2025-07-12,10:14:47
41,Coolberg Non Alcoholic Beer | Party Pack,https://www.zeptonow.com/pn/coolberg-non-alcoholic-beer-party-pack/pvid/e2eb868d-5870-4ea4-a1b4-fc8315ccd7fa,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1087-1087,pr-true,f-auto,q-80/cms/product_variant/78e73658-440e-4c3f-9a04-6ead76fc1d1d.png",₹542,₹594,₹52 Off,5.0,(51),9 mins,6 x 330 ml,3,2025-07-12,10:14:47
42,Good Monk Mixed Berries Instant Powder Mix,https://www.zeptonow.com/pn/good-monk-mixed-berries-instant-powder-mix/pvid/8ca33985-102e-4aac-b032-4733509a0d10,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1080-1080,pr-true,f-auto,q-80/cms/product_variant/037e0221-7914-4c5c-bc17-121a804b0040.jpeg",₹600,,,4.2,(545),11 mins,396 g,1,2025-07-12,10:14:47
43,Fast&Up Nightout Instant Hangover Relief Drink,https://www.zeptonow.com/pn/fastup-nightout-instant-hangover-relief-drink/pvid/0676c7f0-42a1-4057-b928-5b314d5cf05d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/f8306fed-bc8c-4700-abe5-e18a2fca2f79.jpeg",₹142,₹149,₹7 Off,4.1,(69),9 mins,1 pack (4 pcs),2,2025-07-12,10:14:47
44,Maiva Pro Vanilla 20g Plant Protein 20 Multivitamin VEGan Shake,https://www.zeptonow.com/pn/maiva-pro-vanilla-20g-plant-protein-20-multivitamin-vegan-shake/pvid/e961d29d-dfa4-47c1-b81a-c7188508b75d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/7066562b-8546-4bfa-b00b-ce8b23971c4e.jpg",₹120,₹150,₹30 Off,4.5,(388),9 mins,300 ml,1,2025-07-12,10:14:47
45,Epigamia Turbo Vanilla and Caramel Protein Milkshake,https://www.zeptonow.com/pn/epigamia-turbo-vanilla-and-caramel-protein-milkshake/pvid/e3d82530-d213-4a84-b68d-a81f8764afa2,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/f93dad73-52e2-4df6-90f9-ecbccb069692.jpeg",₹135,₹150,₹15 Off,4.4,(238),9 mins,250 ml,5,2025-07-12,10:14:47
46,Bombay Banta Assorted Flavoured Soft Drink,https://www.zeptonow.com/pn/bombay-banta-assorted-flavoured-soft-drink/pvid/4f645769-2a09-4a6a-8bef-5dc6fd4625cd,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/6cdb1ec4-b804-4d81-91c8-def49c7a0a9a.jpeg",₹162,₹180,₹18 Off,4.8,(71),9 mins,8 x 250 ml,4,2025-07-12,10:14:47
47,Bombay Banta Imli Chaska Soda,https://www.zeptonow.com/pn/bombay-banta-imli-chaska-soda/pvid/7f7b7d9c-4f8e-484e-a86c-cfe1deb7bb20,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/2e2bae8b-c2b2-4155-8ab1-bbfd7d6e7acb.jpeg",₹217,₹240,₹23 Off,4.2,(143),9 mins,1 pack (12 pcs),3,2025-07-12,10:14:47
48,Fast&Up Reload Zero Sugar Energy Drink for Hydration - Ice Current Flavour,https://www.zeptonow.com/pn/fastup-reload-zero-sugar-energy-drink-for-hydration-ice-current-flavour/pvid/a882b6ec-f992-435e-946e-aaad037ca556,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/addaa0e8-2cc2-4acf-8232-960487252f4e.jpeg",₹283,₹310,₹27 Off,4.6,(981),9 mins,1 pack (22 pcs),2,2025-07-12,10:14:47
49,Raw Pressery Almond Milk,https://www.zeptonow.com/pn/raw-pressery-almond-milk/pvid/1b1b90cc-ad0a-4f14-81a4-14f22b8b64ac,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/f19cec89-f8f7-4054-bd30-a033655f61f1.jpeg",₹283,₹325,₹42 Off,4.5,(113),9 mins,1 L,3,2025-07-12,10:14:47
